Risk ID,Business Service,Risk Statement,Threat Event,Vulnerability,Impact Description,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Effectiveness (1-5),Residual Risk,Risk Owner,Treatment Option,Target Date,Status,Framework Mapping,Evidence/Notes
R0081,Email,"If ransomware affects email, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Vulnerability management; Backups tested; MFA,2,7,Compliance Manager,Avoid,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0082,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,MFA; Backups tested; PAM enforced,1,15,Compliance Manager,Avoid,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0083,SOC Tooling,"If ransomware affects soc tooling, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,EDR with containment; SIEM detections; Vulnerability management,3,2,Risk Manager,Mitigate,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0084,Data Warehouse,"If privilege escalation affects data warehouse, then disruption could impact customers and revenue.",Privilege escalation,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,MFA; Vulnerability management; PAM enforced,3,6,CISO,Avoid,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0085,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,EDR with containment; MFA; SIEM detections,4,5,CISO,Avoid,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0086,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,Change control; MFA; Network segmentation,3,23,Risk Manager,Avoid,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0087,Data Warehouse,"If phishing affects data warehouse, then disruption could impact customers and revenue.",Phishing,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,PAM enforced; Vulnerability management; MFA,5,4,Compliance Manager,Avoid,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0088,Data Warehouse,"If data exfiltration affects data warehouse, then disruption could impact customers and revenue.",Data exfiltration,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Vulnerability management; Change control; Network segmentation,4,7,Risk Manager,Mitigate,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0089,ERP,"If insider misuse affects erp, then disruption could impact customers and revenue.",Insider misuse,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,PAM enforced; Backups tested; Vulnerability management,4,1,Compliance Manager,Mitigate,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0090,MES,"If privilege escalation affects mes, then disruption could impact customers and revenue.",Privilege escalation,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,Backups tested; Network segmentation; Vulnerability management,2,11,Risk Manager,Transfer,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0091,Network Core,"If configuration drift affects network core, then disruption could impact customers and revenue.",Configuration drift,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,EDR with containment; Vulnerability management; Change control,5,4,Risk Manager,Avoid,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0092,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,SIEM detections; PAM enforced; Backups tested,3,4,Security Architect,Transfer,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0093,Customer Portal,"If ransomware affects customer portal, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Network segmentation; PAM enforced; Vulnerability management,4,5,CISO,Transfer,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0094,Customer Portal,"If configuration drift affects customer portal, then disruption could impact customers and revenue.",Configuration drift,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Change control; Backups tested; Network segmentation,1,20,CISO,Mitigate,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0095,Data Warehouse,"If ddos affects data warehouse, then disruption could impact customers and revenue.",DDoS,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Backups tested; Network segmentation; Vulnerability management,1,8,SOC Manager,Accept,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0096,MES,"If credential stuffing affects mes, then disruption could impact customers and revenue.",Credential stuffing,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Vulnerability management; EDR with containment; Network segmentation,3,18,Security Architect,Accept,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0097,Network Core,"If phishing affects network core, then disruption could impact customers and revenue.",Phishing,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,PAM enforced; WAF and rate limiting; EDR with containment,5,16,Security Architect,Mitigate,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0098,Network Core,"If credential stuffing affects network core, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,Network segmentation; PAM enforced; SIEM detections,4,3,SOC Manager,Transfer,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0099,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,EDR with containment; SIEM detections; PAM enforced,4,17,SOC Manager,Transfer,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0100,Identity Platform,"If privilege escalation affects identity platform, then disruption could impact customers and revenue.",Privilege escalation,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,EDR with containment; Change control; SIEM detections,3,18,Product Lead,Transfer,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0101,SOC Tooling,"If insider misuse affects soc tooling, then disruption could impact customers and revenue.",Insider misuse,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,MFA; Network segmentation; WAF and rate limiting,2,5,SOC Manager,Mitigate,2024-12-31,In Progress,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0102,Data Warehouse,"If data exfiltration affects data warehouse, then disruption could impact customers and revenue.",Data exfiltration,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,EDR with containment; WAF and rate limiting; MFA,1,15,Risk Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0103,Network Core,"If supply chain compromise affects network core, then disruption could impact customers and revenue.",Supply chain compromise,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,EDR with containment; SIEM detections; Change control,3,10,Security Architect,Accept,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0104,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,WAF and rate limiting; PAM enforced; EDR with containment,1,20,SOC Manager,Mitigate,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0105,Identity Platform,"If credential stuffing affects identity platform, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,EDR with containment; Backups tested; WAF and rate limiting,2,7,Security Architect,Accept,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0106,Network Core,"If privilege escalation affects network core, then disruption could impact customers and revenue.",Privilege escalation,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,WAF and rate limiting; Network segmentation; SIEM detections,5,16,IT Ops Manager,Avoid,2024-12-31,Open,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0107,ERP,"If insider misuse affects erp, then disruption could impact customers and revenue.",Insider misuse,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Backups tested; MFA; WAF and rate limiting,2,9,IT Ops Manager,Transfer,2024-12-31,Open,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0108,SOC Tooling,"If data exfiltration affects soc tooling, then disruption could impact customers and revenue.",Data exfiltration,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,WAF and rate limiting; MFA; Network segmentation,5,5,SOC Manager,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0109,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,MFA; Change control; Vulnerability management,1,10,Compliance Manager,Transfer,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0110,ERP,"If credential stuffing affects erp, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,WAF and rate limiting; EDR with containment; Vulnerability management,3,7,Risk Manager,Accept,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0111,ERP,"If insider misuse affects erp, then disruption could impact customers and revenue.",Insider misuse,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,PAM enforced; Change control; Backups tested,4,3,SOC Manager,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0112,SOC Tooling,"If privilege escalation affects soc tooling, then disruption could impact customers and revenue.",Privilege escalation,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Backups tested; EDR with containment; Vulnerability management,4,6,IT Ops Manager,Mitigate,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0113,Network Core,"If supply chain compromise affects network core, then disruption could impact customers and revenue.",Supply chain compromise,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Vulnerability management; Backups tested; SIEM detections,5,6,CISO,Mitigate,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0114,Email,"If ddos affects email, then disruption could impact customers and revenue.",DDoS,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,Network segmentation; WAF and rate limiting; Change control,5,16,Compliance Manager,Mitigate,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0115,MES,"If supply chain compromise affects mes, then disruption could impact customers and revenue.",Supply chain compromise,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Vulnerability management; PAM enforced; WAF and rate limiting,2,15,SOC Manager,Transfer,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0116,Data Warehouse,"If ddos affects data warehouse, then disruption could impact customers and revenue.",DDoS,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Backups tested; Change control; MFA,1,16,IT Ops Manager,Avoid,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0117,MES,"If supply chain compromise affects mes, then disruption could impact customers and revenue.",Supply chain compromise,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Change control; WAF and rate limiting; Network segmentation,3,8,IT Ops Manager,Transfer,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0118,Identity Platform,"If configuration drift affects identity platform, then disruption could impact customers and revenue.",Configuration drift,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,SIEM detections; Network segmentation; WAF and rate limiting,5,2,CISO,Avoid,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0119,SOC Tooling,"If supply chain compromise affects soc tooling, then disruption could impact customers and revenue.",Supply chain compromise,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,EDR with containment; Backups tested; Network segmentation,1,12,CISO,Avoid,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0120,Data Warehouse,"If ddos affects data warehouse, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,PAM enforced; Change control; SIEM detections,5,11,SOC Manager,Accept,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0121,Endpoint Fleet,"If data exfiltration affects endpoint fleet, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,WAF and rate limiting; MFA; SIEM detections,1,20,Security Architect,Avoid,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0122,Email,"If phishing affects email, then disruption could impact customers and revenue.",Phishing,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,PAM enforced; Backups tested; Change control,2,8,Product Lead,Accept,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0123,SOC Tooling,"If supply chain compromise affects soc tooling, then disruption could impact customers and revenue.",Supply chain compromise,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Backups tested; SIEM detections; Vulnerability management,2,19,SOC Manager,Accept,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0124,Data Warehouse,"If privilege escalation affects data warehouse, then disruption could impact customers and revenue.",Privilege escalation,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,WAF and rate limiting; MFA; Backups tested,2,19,Compliance Manager,Transfer,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0125,Endpoint Fleet,"If ddos affects endpoint fleet, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,Vulnerability management; SIEM detections; MFA,3,23,Product Lead,Mitigate,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0126,Endpoint Fleet,"If insider misuse affects endpoint fleet, then disruption could impact customers and revenue.",Insider misuse,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Change control; MFA; PAM enforced,2,3,Compliance Manager,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0127,Customer Portal,"If insider misuse affects customer portal, then disruption could impact customers and revenue.",Insider misuse,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,SIEM detections; MFA; PAM enforced,5,4,Compliance Manager,Accept,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0128,MES,"If supply chain compromise affects mes, then disruption could impact customers and revenue.",Supply chain compromise,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,MFA; Vulnerability management; Backups tested,5,8,Security Architect,Transfer,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0129,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,Backups tested; EDR with containment; Vulnerability management,5,16,IT Ops Manager,Avoid,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0130,Endpoint Fleet,"If data exfiltration affects endpoint fleet, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,Network segmentation; SIEM detections; Change control,4,12,IT Ops Manager,Transfer,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0131,Customer Portal,"If supply chain compromise affects customer portal, then disruption could impact customers and revenue.",Supply chain compromise,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Change control; WAF and rate limiting; SIEM detections,3,13,SOC Manager,Transfer,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0132,ERP,"If data exfiltration affects erp, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,PAM enforced; Network segmentation; MFA,1,16,Product Lead,Transfer,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0133,ERP,"If phishing affects erp, then disruption could impact customers and revenue.",Phishing,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,Network segmentation; Backups tested; EDR with containment,3,4,Compliance Manager,Mitigate,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0134,Data Warehouse,"If privilege escalation affects data warehouse, then disruption could impact customers and revenue.",Privilege escalation,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,MFA; Network segmentation; SIEM detections,1,6,IT Ops Manager,Avoid,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0135,ERP,"If credential stuffing affects erp, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Network segmentation; EDR with containment; SIEM detections,5,6,IT Ops Manager,Mitigate,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0136,Endpoint Fleet,"If data exfiltration affects endpoint fleet, then disruption could impact customers and revenue.",Data exfiltration,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,PAM enforced; MFA; Change control,1,12,Compliance Manager,Avoid,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0137,Endpoint Fleet,"If ddos affects endpoint fleet, then disruption could impact customers and revenue.",DDoS,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,Change control; MFA; PAM enforced,2,5,IT Ops Manager,Accept,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0138,Identity Platform,"If ransomware affects identity platform, then disruption could impact customers and revenue.",Ransomware,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,Network segmentation; PAM enforced; WAF and rate limiting,5,8,Product Lead,Mitigate,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0139,Data Warehouse,"If phishing affects data warehouse, then disruption could impact customers and revenue.",Phishing,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,MFA; Vulnerability management; Network segmentation,5,16,Security Architect,Avoid,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0140,Identity Platform,"If ddos affects identity platform, then disruption could impact customers and revenue.",DDoS,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Backups tested; WAF and rate limiting; PAM enforced,5,2,Product Lead,Mitigate,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0141,Customer Portal,"If phishing affects customer portal, then disruption could impact customers and revenue.",Phishing,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Vulnerability management; Change control; WAF and rate limiting,1,9,Risk Manager,Avoid,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0142,Data Warehouse,"If ddos affects data warehouse, then disruption could impact customers and revenue.",DDoS,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Network segmentation; WAF and rate limiting; SIEM detections,5,1,CISO,Transfer,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0143,Customer Portal,"If configuration drift affects customer portal, then disruption could impact customers and revenue.",Configuration drift,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,SIEM detections; PAM enforced; Network segmentation,1,10,Compliance Manager,Accept,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0144,Email,"If insider misuse affects email, then disruption could impact customers and revenue.",Insider misuse,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,PAM enforced; Network segmentation; Change control,2,7,SOC Manager,Mitigate,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0145,MES,"If credential stuffing affects mes, then disruption could impact customers and revenue.",Credential stuffing,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,SIEM detections; Backups tested; PAM enforced,3,6,SOC Manager,Mitigate,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0146,Network Core,"If privilege escalation affects network core, then disruption could impact customers and revenue.",Privilege escalation,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,EDR with containment; Vulnerability management; Network segmentation,2,15,SOC Manager,Mitigate,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0147,SOC Tooling,"If credential stuffing affects soc tooling, then disruption could impact customers and revenue.",Credential stuffing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Vulnerability management; WAF and rate limiting; MFA,3,10,Product Lead,Mitigate,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0148,Data Warehouse,"If supply chain compromise affects data warehouse, then disruption could impact customers and revenue.",Supply chain compromise,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Vulnerability management; PAM enforced; Backups tested,2,14,Product Lead,Transfer,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0149,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,MFA; Change control; PAM enforced,1,12,Risk Manager,Transfer,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0150,Email,"If phishing affects email, then disruption could impact customers and revenue.",Phishing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,PAM enforced; Vulnerability management; SIEM detections,4,13,Product Lead,Accept,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0151,Identity Platform,"If ddos affects identity platform, then disruption could impact customers and revenue.",DDoS,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,PAM enforced; Network segmentation; EDR with containment,1,9,SOC Manager,Accept,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0152,Endpoint Fleet,"If data exfiltration affects endpoint fleet, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,PAM enforced; Vulnerability management; WAF and rate limiting,3,13,SOC Manager,Accept,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0153,Identity Platform,"If privilege escalation affects identity platform, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,WAF and rate limiting; Change control; SIEM detections,2,14,Security Architect,Accept,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0154,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,MFA; Backups tested; Vulnerability management,4,22,Risk Manager,Transfer,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0155,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,PAM enforced; Backups tested; SIEM detections,3,2,CISO,Accept,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0156,ERP,"If ransomware affects erp, then disruption could impact customers and revenue.",Ransomware,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,PAM enforced; SIEM detections; Backups tested,3,10,Product Lead,Accept,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0157,Email,"If ddos affects email, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,SIEM detections; MFA; WAF and rate limiting,4,9,SOC Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0158,Network Core,"If ddos affects network core, then disruption could impact customers and revenue.",DDoS,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,EDR with containment; WAF and rate limiting; MFA,1,20,CISO,Transfer,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0159,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,Vulnerability management; Network segmentation; PAM enforced,5,11,Product Lead,Accept,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0160,MES,"If ddos affects mes, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Backups tested; Vulnerability management; EDR with containment,1,9,Risk Manager,Transfer,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
