Control ID,Control Description,Risk ID,Business Service,Framework Reference,Control Owner,Implementation Status,Evidence,Notes
C0139,Implement control 139 for Data Warehouse addressing COBIT APO13.,R0139,Data Warehouse,COBIT APO13,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0140,Implement control 140 for Endpoint Fleet addressing COBIT DSS05.,R0140,Endpoint Fleet,COBIT DSS05,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0141,Implement control 141 for Customer Portal addressing COBIT DSS06.,R0141,Customer Portal,COBIT DSS06,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0142,Implement control 142 for Data Warehouse addressing SOC 2 CC6.,R0142,Data Warehouse,SOC 2 CC6,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0143,Implement control 143 for Endpoint Fleet addressing SOC 2 CC7.,R0143,Endpoint Fleet,SOC 2 CC7,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0144,Implement control 144 for Customer Portal addressing ISO 27001 A.5 Policies.,R0144,Customer Portal,ISO 27001 A.5 Policies,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0145,Implement control 145 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0145,Data Warehouse,ISO 27001 A.9 Access Control,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0146,Implement control 146 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0146,Endpoint Fleet,ISO 27001 A.12 Operations,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0147,Implement control 147 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0147,Customer Portal,ISO 27001 A.17 Business Continuity,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0148,Implement control 148 for Data Warehouse addressing NIST CSF PR.AC.,R0148,Data Warehouse,NIST CSF PR.AC,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0149,Implement control 149 for Endpoint Fleet addressing NIST CSF DE.CM.,R0149,Endpoint Fleet,NIST CSF DE.CM,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0150,Implement control 150 for Customer Portal addressing NIST CSF RS.MI.,R0150,Customer Portal,NIST CSF RS.MI,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0151,Implement control 151 for Data Warehouse addressing COBIT APO13.,R0151,Data Warehouse,COBIT APO13,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0152,Implement control 152 for Endpoint Fleet addressing COBIT DSS05.,R0152,Endpoint Fleet,COBIT DSS05,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0153,Implement control 153 for Customer Portal addressing COBIT DSS06.,R0153,Customer Portal,COBIT DSS06,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0154,Implement control 154 for Data Warehouse addressing SOC 2 CC6.,R0154,Data Warehouse,SOC 2 CC6,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0155,Implement control 155 for Endpoint Fleet addressing SOC 2 CC7.,R0155,Endpoint Fleet,SOC 2 CC7,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0156,Implement control 156 for Customer Portal addressing ISO 27001 A.5 Policies.,R0156,Customer Portal,ISO 27001 A.5 Policies,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0157,Implement control 157 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0157,Data Warehouse,ISO 27001 A.9 Access Control,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0158,Implement control 158 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0158,Endpoint Fleet,ISO 27001 A.12 Operations,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0159,Implement control 159 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0159,Customer Portal,ISO 27001 A.17 Business Continuity,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0160,Implement control 160 for Data Warehouse addressing NIST CSF PR.AC.,R0160,Data Warehouse,NIST CSF PR.AC,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0161,Implement control 161 for Endpoint Fleet addressing NIST CSF DE.CM.,R0161,Endpoint Fleet,NIST CSF DE.CM,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0162,Implement control 162 for Customer Portal addressing NIST CSF RS.MI.,R0162,Customer Portal,NIST CSF RS.MI,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0163,Implement control 163 for Data Warehouse addressing COBIT APO13.,R0163,Data Warehouse,COBIT APO13,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0164,Implement control 164 for Endpoint Fleet addressing COBIT DSS05.,R0164,Endpoint Fleet,COBIT DSS05,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0165,Implement control 165 for Customer Portal addressing COBIT DSS06.,R0165,Customer Portal,COBIT DSS06,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0166,Implement control 166 for Data Warehouse addressing SOC 2 CC6.,R0166,Data Warehouse,SOC 2 CC6,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0167,Implement control 167 for Endpoint Fleet addressing SOC 2 CC7.,R0167,Endpoint Fleet,SOC 2 CC7,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0168,Implement control 168 for Customer Portal addressing ISO 27001 A.5 Policies.,R0168,Customer Portal,ISO 27001 A.5 Policies,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0169,Implement control 169 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0169,Data Warehouse,ISO 27001 A.9 Access Control,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0170,Implement control 170 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0170,Endpoint Fleet,ISO 27001 A.12 Operations,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0171,Implement control 171 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0171,Customer Portal,ISO 27001 A.17 Business Continuity,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0172,Implement control 172 for Data Warehouse addressing NIST CSF PR.AC.,R0172,Data Warehouse,NIST CSF PR.AC,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0173,Implement control 173 for Endpoint Fleet addressing NIST CSF DE.CM.,R0173,Endpoint Fleet,NIST CSF DE.CM,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0174,Implement control 174 for Customer Portal addressing NIST CSF RS.MI.,R0174,Customer Portal,NIST CSF RS.MI,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0175,Implement control 175 for Data Warehouse addressing COBIT APO13.,R0175,Data Warehouse,COBIT APO13,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0176,Implement control 176 for Endpoint Fleet addressing COBIT DSS05.,R0176,Endpoint Fleet,COBIT DSS05,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0177,Implement control 177 for Customer Portal addressing COBIT DSS06.,R0177,Customer Portal,COBIT DSS06,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0178,Implement control 178 for Data Warehouse addressing SOC 2 CC6.,R0178,Data Warehouse,SOC 2 CC6,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0179,Implement control 179 for Endpoint Fleet addressing SOC 2 CC7.,R0179,Endpoint Fleet,SOC 2 CC7,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0180,Implement control 180 for Customer Portal addressing ISO 27001 A.5 Policies.,R0180,Customer Portal,ISO 27001 A.5 Policies,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0181,Implement control 181 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0181,Data Warehouse,ISO 27001 A.9 Access Control,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0182,Implement control 182 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0182,Endpoint Fleet,ISO 27001 A.12 Operations,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0183,Implement control 183 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0183,Customer Portal,ISO 27001 A.17 Business Continuity,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0184,Implement control 184 for Data Warehouse addressing NIST CSF PR.AC.,R0184,Data Warehouse,NIST CSF PR.AC,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0185,Implement control 185 for Endpoint Fleet addressing NIST CSF DE.CM.,R0185,Endpoint Fleet,NIST CSF DE.CM,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0186,Implement control 186 for Customer Portal addressing NIST CSF RS.MI.,R0186,Customer Portal,NIST CSF RS.MI,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0187,Implement control 187 for Data Warehouse addressing COBIT APO13.,R0187,Data Warehouse,COBIT APO13,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0188,Implement control 188 for Endpoint Fleet addressing COBIT DSS05.,R0188,Endpoint Fleet,COBIT DSS05,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0189,Implement control 189 for Customer Portal addressing COBIT DSS06.,R0189,Customer Portal,COBIT DSS06,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0190,Implement control 190 for Data Warehouse addressing SOC 2 CC6.,R0190,Data Warehouse,SOC 2 CC6,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0191,Implement control 191 for Endpoint Fleet addressing SOC 2 CC7.,R0191,Endpoint Fleet,SOC 2 CC7,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0192,Implement control 192 for Customer Portal addressing ISO 27001 A.5 Policies.,R0192,Customer Portal,ISO 27001 A.5 Policies,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0193,Implement control 193 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0193,Data Warehouse,ISO 27001 A.9 Access Control,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0194,Implement control 194 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0194,Endpoint Fleet,ISO 27001 A.12 Operations,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0195,Implement control 195 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0195,Customer Portal,ISO 27001 A.17 Business Continuity,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0196,Implement control 196 for Data Warehouse addressing NIST CSF PR.AC.,R0196,Data Warehouse,NIST CSF PR.AC,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0197,Implement control 197 for Endpoint Fleet addressing NIST CSF DE.CM.,R0197,Endpoint Fleet,NIST CSF DE.CM,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0198,Implement control 198 for Customer Portal addressing NIST CSF RS.MI.,R0198,Customer Portal,NIST CSF RS.MI,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0199,Implement control 199 for Data Warehouse addressing COBIT APO13.,R0199,Data Warehouse,COBIT APO13,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0200,Implement control 200 for Endpoint Fleet addressing COBIT DSS05.,R0200,Endpoint Fleet,COBIT DSS05,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0201,Implement control 201 for Customer Portal addressing COBIT DSS06.,R0201,Customer Portal,COBIT DSS06,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0202,Implement control 202 for Data Warehouse addressing SOC 2 CC6.,R0202,Data Warehouse,SOC 2 CC6,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0203,Implement control 203 for Endpoint Fleet addressing SOC 2 CC7.,R0203,Endpoint Fleet,SOC 2 CC7,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0204,Implement control 204 for Customer Portal addressing ISO 27001 A.5 Policies.,R0204,Customer Portal,ISO 27001 A.5 Policies,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0205,Implement control 205 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0205,Data Warehouse,ISO 27001 A.9 Access Control,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0206,Implement control 206 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0206,Endpoint Fleet,ISO 27001 A.12 Operations,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0207,Implement control 207 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0207,Customer Portal,ISO 27001 A.17 Business Continuity,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0208,Implement control 208 for Data Warehouse addressing NIST CSF PR.AC.,R0208,Data Warehouse,NIST CSF PR.AC,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0209,Implement control 209 for Endpoint Fleet addressing NIST CSF DE.CM.,R0209,Endpoint Fleet,NIST CSF DE.CM,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0210,Implement control 210 for Customer Portal addressing NIST CSF RS.MI.,R0210,Customer Portal,NIST CSF RS.MI,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0211,Implement control 211 for Data Warehouse addressing COBIT APO13.,R0211,Data Warehouse,COBIT APO13,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0212,Implement control 212 for Endpoint Fleet addressing COBIT DSS05.,R0212,Endpoint Fleet,COBIT DSS05,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0213,Implement control 213 for Customer Portal addressing COBIT DSS06.,R0213,Customer Portal,COBIT DSS06,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0214,Implement control 214 for Data Warehouse addressing SOC 2 CC6.,R0214,Data Warehouse,SOC 2 CC6,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0215,Implement control 215 for Endpoint Fleet addressing SOC 2 CC7.,R0215,Endpoint Fleet,SOC 2 CC7,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0216,Implement control 216 for Customer Portal addressing ISO 27001 A.5 Policies.,R0216,Customer Portal,ISO 27001 A.5 Policies,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0217,Implement control 217 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0217,Data Warehouse,ISO 27001 A.9 Access Control,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0218,Implement control 218 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0218,Endpoint Fleet,ISO 27001 A.12 Operations,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0219,Implement control 219 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0219,Customer Portal,ISO 27001 A.17 Business Continuity,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0220,Implement control 220 for Data Warehouse addressing NIST CSF PR.AC.,R0220,Data Warehouse,NIST CSF PR.AC,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0221,Implement control 221 for Endpoint Fleet addressing NIST CSF DE.CM.,R0221,Endpoint Fleet,NIST CSF DE.CM,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0222,Implement control 222 for Customer Portal addressing NIST CSF RS.MI.,R0222,Customer Portal,NIST CSF RS.MI,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0223,Implement control 223 for Data Warehouse addressing COBIT APO13.,R0223,Data Warehouse,COBIT APO13,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0224,Implement control 224 for Endpoint Fleet addressing COBIT DSS05.,R0224,Endpoint Fleet,COBIT DSS05,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0225,Implement control 225 for Customer Portal addressing COBIT DSS06.,R0225,Customer Portal,COBIT DSS06,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0226,Implement control 226 for Data Warehouse addressing SOC 2 CC6.,R0226,Data Warehouse,SOC 2 CC6,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0227,Implement control 227 for Endpoint Fleet addressing SOC 2 CC7.,R0227,Endpoint Fleet,SOC 2 CC7,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0228,Implement control 228 for Customer Portal addressing ISO 27001 A.5 Policies.,R0228,Customer Portal,ISO 27001 A.5 Policies,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0229,Implement control 229 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0229,Data Warehouse,ISO 27001 A.9 Access Control,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0230,Implement control 230 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0230,Endpoint Fleet,ISO 27001 A.12 Operations,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0231,Implement control 231 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0231,Customer Portal,ISO 27001 A.17 Business Continuity,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0232,Implement control 232 for Data Warehouse addressing NIST CSF PR.AC.,R0232,Data Warehouse,NIST CSF PR.AC,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0233,Implement control 233 for Endpoint Fleet addressing NIST CSF DE.CM.,R0233,Endpoint Fleet,NIST CSF DE.CM,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0234,Implement control 234 for Customer Portal addressing NIST CSF RS.MI.,R0234,Customer Portal,NIST CSF RS.MI,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0235,Implement control 235 for Data Warehouse addressing COBIT APO13.,R0235,Data Warehouse,COBIT APO13,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0236,Implement control 236 for Endpoint Fleet addressing COBIT DSS05.,R0236,Endpoint Fleet,COBIT DSS05,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0237,Implement control 237 for Customer Portal addressing COBIT DSS06.,R0237,Customer Portal,COBIT DSS06,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0238,Implement control 238 for Data Warehouse addressing SOC 2 CC6.,R0238,Data Warehouse,SOC 2 CC6,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0239,Implement control 239 for Endpoint Fleet addressing SOC 2 CC7.,R0239,Endpoint Fleet,SOC 2 CC7,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0240,Implement control 240 for Customer Portal addressing ISO 27001 A.5 Policies.,R0240,Customer Portal,ISO 27001 A.5 Policies,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0241,Implement control 241 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0241,Data Warehouse,ISO 27001 A.9 Access Control,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0242,Implement control 242 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0242,Endpoint Fleet,ISO 27001 A.12 Operations,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0243,Implement control 243 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0243,Customer Portal,ISO 27001 A.17 Business Continuity,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0244,Implement control 244 for Data Warehouse addressing NIST CSF PR.AC.,R0244,Data Warehouse,NIST CSF PR.AC,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0245,Implement control 245 for Endpoint Fleet addressing NIST CSF DE.CM.,R0245,Endpoint Fleet,NIST CSF DE.CM,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0246,Implement control 246 for Customer Portal addressing NIST CSF RS.MI.,R0246,Customer Portal,NIST CSF RS.MI,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0247,Implement control 247 for Data Warehouse addressing COBIT APO13.,R0247,Data Warehouse,COBIT APO13,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0248,Implement control 248 for Endpoint Fleet addressing COBIT DSS05.,R0248,Endpoint Fleet,COBIT DSS05,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0249,Implement control 249 for Customer Portal addressing COBIT DSS06.,R0249,Customer Portal,COBIT DSS06,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0250,Implement control 250 for Data Warehouse addressing SOC 2 CC6.,R0250,Data Warehouse,SOC 2 CC6,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0251,Implement control 251 for Endpoint Fleet addressing SOC 2 CC7.,R0251,Endpoint Fleet,SOC 2 CC7,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0252,Implement control 252 for Customer Portal addressing ISO 27001 A.5 Policies.,R0252,Customer Portal,ISO 27001 A.5 Policies,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0253,Implement control 253 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0253,Data Warehouse,ISO 27001 A.9 Access Control,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0254,Implement control 254 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0254,Endpoint Fleet,ISO 27001 A.12 Operations,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0255,Implement control 255 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0255,Customer Portal,ISO 27001 A.17 Business Continuity,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0256,Implement control 256 for Data Warehouse addressing NIST CSF PR.AC.,R0256,Data Warehouse,NIST CSF PR.AC,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0257,Implement control 257 for Endpoint Fleet addressing NIST CSF DE.CM.,R0257,Endpoint Fleet,NIST CSF DE.CM,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0258,Implement control 258 for Customer Portal addressing NIST CSF RS.MI.,R0258,Customer Portal,NIST CSF RS.MI,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0259,Implement control 259 for Data Warehouse addressing COBIT APO13.,R0259,Data Warehouse,COBIT APO13,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0260,Implement control 260 for Endpoint Fleet addressing COBIT DSS05.,R0260,Endpoint Fleet,COBIT DSS05,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0261,Implement control 261 for Customer Portal addressing COBIT DSS06.,R0261,Customer Portal,COBIT DSS06,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0262,Implement control 262 for Data Warehouse addressing SOC 2 CC6.,R0262,Data Warehouse,SOC 2 CC6,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0263,Implement control 263 for Endpoint Fleet addressing SOC 2 CC7.,R0263,Endpoint Fleet,SOC 2 CC7,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0264,Implement control 264 for Customer Portal addressing ISO 27001 A.5 Policies.,R0264,Customer Portal,ISO 27001 A.5 Policies,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0265,Implement control 265 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0265,Data Warehouse,ISO 27001 A.9 Access Control,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0266,Implement control 266 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0266,Endpoint Fleet,ISO 27001 A.12 Operations,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0267,Implement control 267 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0267,Customer Portal,ISO 27001 A.17 Business Continuity,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0268,Implement control 268 for Data Warehouse addressing NIST CSF PR.AC.,R0268,Data Warehouse,NIST CSF PR.AC,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0269,Implement control 269 for Endpoint Fleet addressing NIST CSF DE.CM.,R0269,Endpoint Fleet,NIST CSF DE.CM,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0270,Implement control 270 for Customer Portal addressing NIST CSF RS.MI.,R0270,Customer Portal,NIST CSF RS.MI,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0271,Implement control 271 for Data Warehouse addressing COBIT APO13.,R0271,Data Warehouse,COBIT APO13,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0272,Implement control 272 for Endpoint Fleet addressing COBIT DSS05.,R0272,Endpoint Fleet,COBIT DSS05,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0273,Implement control 273 for Customer Portal addressing COBIT DSS06.,R0273,Customer Portal,COBIT DSS06,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0274,Implement control 274 for Data Warehouse addressing SOC 2 CC6.,R0274,Data Warehouse,SOC 2 CC6,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0275,Implement control 275 for Endpoint Fleet addressing SOC 2 CC7.,R0275,Endpoint Fleet,SOC 2 CC7,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0276,Implement control 276 for Customer Portal addressing ISO 27001 A.5 Policies.,R0276,Customer Portal,ISO 27001 A.5 Policies,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0277,Implement control 277 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0277,Data Warehouse,ISO 27001 A.9 Access Control,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
